Player Name,Rounds,Average SG Putts,Total SG:Putts,Measured Rounds,Year
Carl Pettersson,106,.335,32.204,96,2015
Willy Wilcox,58,.322,13.220,41,2015
Matt Kuchar,97,.316,24.322,77,2015
Blayne Barber,76,.313,19.696,63,2015
Billy Hurley III,83,.311,19.597,63,2015
Rickie Fowler,76,.309,17.616,57,2015
Derek Fathauer,81,.301,19.834,66,2015
Scott Pinckney,88,.294,21.766,74,2015
Luke Donald,71,.289,15.579,54,2015
John Huh,102,.279,24.869,89,2015
Phil Mickelson,70,.262,14.421,55,2015
Sangmoon Bae,98,.260,22.865,88,2015
Jerry Kelly,79,.250,16.490,66,2015
Billy Horschel,99,.244,17.841,73,2015
Kevin Kisner,104,.240,22.516,94,2015
Jason Bohn,95,.239,20.775,87,2015
Brian Harman,90,.236,18.390,78,2015
Adam Hadwin,95,.235,19.029,81,2015
Kevin Na,98,.233,16.544,71,2015
Morgan Hoffmann,85,.232,15.981,69,2015
Justin Leonard,61,.231,12.475,54,2015
Ian Poulter,68,.225,10.820,48,2015
George McNeill,93,.212,18.879,89,2015
Bubba Watson,71,.212,11.875,56,2015
Johnson Wagner,68,.203,11.571,57,2015
Ben Crane,62,.201,10.452,52,2015
Camilo Villegas,83,.195,14.447,74,2015
Andres Romero,69,.190,10.244,54,2015
Andres Gonzales,90,.177,13.481,76,2015
Carlos Ortiz,100,.172,14.293,83,2015
Sean O'Hair,86,.169,13.657,81,2015
Kevin Chappell,86,.168,12.628,75,2015
Chesson Hadley,101,.168,14.951,89,2015
Ryan Moore,81,.160,9.741,61,2015
Ricky Barnes,82,.159,10.048,63,2015
Michael Thompson,83,.153,11.506,75,2015
Eric Axley,57,.150,6.438,43,2015
Ryan Palmer,80,.147,7.937,54,2015
Steven Bowditch,103,.144,12.687,88,2015
Jonathan Randolph,72,.132,7.408,56,2015
Dustin Johnson,75,.128,6.932,54,2015
Ben Martin,93,.127,9.748,77,2015
Cameron Tringale,96,.125,9.874,79,2015
Jonas Blixt,78,.122,6.345,52,2015
Bo Van Pelt,81,.118,7.687,65,2015
Brian Stuard,97,.116,9.144,79,2015
Nick Taylor,91,.112,9.329,83,2015
Luke Guthrie,84,.110,7.472,68,2015
Jeff Overton,94,.105,7.851,75,2015
Stewart Cink,77,.102,6.712,66,2015
Martin Laird,77,.100,7.320,73,2015
Jhonattan Vegas,90,.086,6.165,72,2015
Jonathan Byrd,69,.084,4.295,51,2015
Brian Davis,86,.081,5.724,71,2015
Gary Woodland,81,.077,4.173,54,2015
Hideki Matsuyama,95,.076,5.340,70,2015
Matt Every,73,.075,4.198,56,2015
Shawn Stefani,94,.074,6.539,88,2015
Seung-Yul Noh,65,.066,3.552,54,2015
Charley Hoffman,97,.065,4.973,76,2015
Chris Kirk,76,.065,3.632,56,2015
Fabián Gómez,83,.062,4.288,69,2015
William McGirt,103,.060,5.816,97,2015
James Hahn,94,.048,3.736,78,2015
Justin Thomas,106,.042,4.012,96,2015
Zach Johnson,90,.040,2.778,70,2015
David Lingmerth,90,.039,2.899,74,2015
Kyle Reifers,96,.036,2.855,80,2015
Retief Goosen,81,.027,1.602,60,2015
Justin Rose,69,.023,1.123,49,2015
Scott Langley,94,.018,1.424,79,2015
Paul Casey,87,.014,.911,63,2015
Chad Collins,79,.012,.778,63,2015
Scott Piercy,90,.006,.534,83,2015
Tom Hoge,83,.005,.296,65,2015
Patrick Rodgers,57,-.003,-.153,46,2015
J.B. Holmes,89,-.004,-.296,66,2015
Tony Finau,106,-.006,-.533,92,2015
Brendon de Jonge,106,-.007,-.684,92,2015
Graham DeLaet,65,-.012,-.636,54,2015
Jason Kokrak,88,-.012,-.993,80,2015
Marc Leishman,74,-.020,-1.093,54,2015
Russell Knox,96,-.021,-1.826,87,2015
Sergio Garcia,59,-.022,-.784,36,2015
Jim Furyk,71,-.024,-1.252,52,2015
Andrew Svoboda,80,-.026,-1.792,70,2015
Jon Curran,83,-.028,-1.848,65,2015
Jim Herman,88,-.030,-2.341,77,2015
Scott Brown,97,-.031,-2.495,81,2015
Chad Campbell,97,-.045,-4.074,91,2015
Brendan Steele,88,-.047,-3.547,76,2015
D.A. Points,72,-.054,-3.154,58,2015
Alex Prugh,84,-.055,-3.925,72,2015
John Senden,80,-.061,-3.103,51,2015
Spencer Levin,99,-.065,-5.408,83,2015
Mark Wilson,89,-.065,-5.295,81,2015
Jason Gore,76,-.067,-3.911,58,2015
Keegan Bradley,87,-.070,-4.473,64,2015
Brice Garnett,81,-.089,-5.727,64,2015
Whee Kim,71,-.093,-5.235,56,2015
Mark Hubbard,79,-.102,-6.226,61,2015
David Toms,62,-.102,-5.604,55,2015
Ryo Ishikawa,90,-.103,-7.760,75,2015
Rory Sabbatini,81,-.106,-6.993,66,2015
Max Homa,78,-.110,-6.816,62,2015
Sam Saunders,83,-.136,-8.589,63,2015
Cameron Percy,72,-.142,-8.262,58,2015
Steven Alker,62,-.146,-7.294,50,2015
Tyrone Van Aswegen,58,-.152,-6.379,42,2015
Chris Stroud,84,-.176,-11.950,68,2015
John Peterson,84,-.184,-14.163,77,2015
Daniel Berger,97,-.193,-16.030,83,2015
Martin Flores,95,-.216,-17.069,79,2015
Charles Howell III,105,-.216,-21.395,99,2015
Kevin Streelman,95,-.219,-15.978,73,2015
Louis Oosthuizen,68,-.220,-10.341,47,2015
Ken Duke,93,-.222,-17.294,78,2015
Bill Haas,89,-.229,-16.243,71,2015
Alex Cejka,94,-.232,-18.331,79,2015
Boo Weekley,79,-.246,-16.467,67,2015
Francesco Molinari,56,-.255,-10.948,43,2015
Chez Reavie,56,-.262,-13.090,50,2015
Tim Wilkinson,73,-.278,-16.123,58,2015
Oscar Fraustro,58,-.283,-11.308,40,2015
Davis Love III,51,-.347,-14.555,42,2015
Scott Stallings,60,-.392,-19.208,49,2015
Adam Scott,51,-.396,-12.662,32,2015
Nick Watney,91,-.403,-32.658,81,2015
J.J. Henry,94,-.414,-31.432,76,2015
Sung Joon Park,79,-.421,-26.539,63,2015
Padraig Harrington,60,-.493,-24.148,49,2015
Nicholas Thompson,90,-.493,-34.513,70,2015
Roger Sloan,56,-.502,-20.070,40,2015
Vijay Singh,78,-.511,-35.238,69,2015
Derek Ernst,75,-.516,-32.531,63,2015
Bill Lunde,50,-.520,-18.731,36,2015
Gonzalo Fernandez-Castaño,81,-.522,-32.867,63,2015
Michael Putnam,87,-.526,-35.781,68,2015
Charl Schwartzel,67,-.555,-22.769,41,2015
Ángel Cabrera,53,-.572,-24.020,42,2015
Heath Slocum,57,-.594,-23.184,39,2015
Byron Smith,59,-.597,-25.660,43,2015
Ernie Els,57,-.609,-23.764,39,2015
Webb Simpson,81,-.646,-41.374,64,2015
Geoff Ogilvy,50,-.692,-24.221,35,2015
Robert Garrigus,70,-.697,-38.341,55,2015
Jason Dufner,76,-.700,-33.598,48,2015
Roberto Castro,54,-.732,-26.348,36,2015
Robert Allenby,63,-.754,-38.465,51,2015
John Merrick,78,-.775,-44.970,58,2015
Greg Owen,58,-.798,-31.917,40,2015
Charlie Beljan,76,-.799,-45.536,57,2015
Jim Renner,68,-.995,-55.698,56,2015
Lucas Glover,79,-1.351,-97.258,72,2015
Graeme McDowell,66,.882,40.589,46,2014
Aaron Baddeley,74,.872,51.445,59,2014
Greg Chalmers,85,.856,62.482,73,2014
Matt Every,85,.733,47.669,65,2014
Freddie Jacobson,91,.704,56.992,81,2014
Brendon Todd,108,.664,60.431,91,2014
Luke Donald,57,.517,22.733,44,2014
Morgan Hoffmann,103,.506,45.523,90,2014
Justin Leonard,75,.496,30.751,62,2014
Daniel Summerhays,98,.492,43.275,88,2014
Stuart Appleby,92,.487,40.874,84,2014
Jimmy Walker,98,.479,34.989,73,2014
John Senden,99,.476,38.587,81,2014
Michael Thompson,74,.466,27.951,60,2014
Matt Kuchar,91,.457,34.717,76,2014
Richard Lee,80,.446,27.183,61,2014
Chad Collins,78,.438,26.719,61,2014
Sangmoon Bae,76,.418,27.179,65,2014
Ben Curtis,77,.400,25.623,64,2014
Jordan Spieth,102,.399,31.520,79,2014
Kevin Kisner,85,.388,27.176,70,2014
Chris Kirk,105,.374,32.127,86,2014
Andres Romero,81,.353,25.399,72,2014
Retief Goosen,94,.352,27.461,78,2014
Andrew Loupe,65,.350,17.494,50,2014
K.J. Choi,80,.332,22.255,67,2014
Russell Henley,92,.332,24.920,75,2014
Brandt Snedeker,89,.326,21.541,66,2014
Jason Day,54,.317,10.451,33,2014
David Hearn,97,.315,25.838,82,2014
Kevin Na,94,.315,24.589,78,2014
William McGirt,96,.314,26.367,84,2014
Jonas Blixt,64,.303,13.028,43,2014
Webb Simpson,87,.300,22.203,74,2014
Ryan Palmer,85,.295,19.733,67,2014
Ben Martin,80,.291,18.338,63,2014
Rickie Fowler,91,.290,17.976,62,2014
Paul Casey,56,.283,12.446,44,2014
Brian Stuard,91,.283,20.973,74,2014
Erik Compton,88,.282,21.133,75,2014
Rory McIlroy,66,.274,13.150,48,2014
George McNeill,79,.271,18.955,70,2014
Brian Gay,81,.268,16.901,63,2014
Scott Langley,95,.268,21.185,79,2014
Charley Hoffman,93,.266,20.191,76,2014
Mike Weir,69,.256,13.559,53,2014
Keegan Bradley,89,.254,17.003,67,2014
Pat Perez,84,.251,18.859,75,2014
Bryce Molder,77,.249,15.929,64,2014
Patrick Reed,92,.249,18.440,74,2014
Jerry Kelly,80,.239,15.752,66,2014
Phil Mickelson,71,.234,11.722,50,2014
Jason Kokrak,65,.222,13.532,61,2014
Billy Horschel,92,.220,15.210,69,2014
Adam Scott,68,.220,12.309,56,2014
Scott Brown,100,.211,17.502,83,2014
Hunter Mahan,88,.207,14.888,72,2014
Tim Wilkinson,86,.205,14.569,71,2014
Luke Guthrie,85,.190,14.457,76,2014
Chris Stroud,88,.182,13.118,72,2014
Sergio Garcia,61,.167,6.662,40,2014
Brooks Koepka,56,.162,6.783,42,2014
Ricky Barnes,92,.157,12.237,78,2014
Will MacKenzie,82,.154,11.273,73,2014
Lee Westwood,57,.151,6.509,43,2014
Bill Haas,107,.147,12.063,82,2014
Brian Davis,93,.145,11.779,81,2014
Matt Jones,83,.142,8.511,60,2014
Danny Lee,84,.141,9.737,69,2014
Ben Crane,81,.138,10.726,78,2014
Jason Bohn,81,.126,9.201,73,2014
James Driscoll,71,.123,7.137,58,2014
Brendan Steele,89,.121,8.462,70,2014
Robert Streb,75,.119,7.609,64,2014
Brian Harman,111,.113,11.399,101,2014
Charlie Wi,72,.112,7.308,65,2014
Brice Garnett,92,.109,8.475,78,2014
Cameron Tringale,111,.107,10.507,98,2014
Zach Johnson,97,.106,8.889,84,2014
Ryo Ishikawa,75,.092,5.682,62,2014
Jim Furyk,84,.091,6.024,66,2014
Dustin Johnson,58,.082,3.362,41,2014
Sean O'Hair,77,.082,5.510,67,2014
Justin Hicks,103,.069,6.188,90,2014
Ian Poulter,57,.067,2.759,41,2014
Charl Schwartzel,64,.055,2.994,54,2014
David Toms,64,.055,2.970,54,2014
Johnson Wagner,69,.050,2.927,58,2014
Robert Garrigus,80,.047,3.439,73,2014
Ryan Moore,86,.042,2.629,62,2014
Chesson Hadley,84,.041,2.884,71,2014
Billy Hurley III,86,.039,2.815,72,2014
Charles Howell III,106,.037,3.549,95,2014
Tim Clark,75,.025,1.538,62,2014
D.H. Lee,54,.024,1.062,45,2014
Troy Merritt,62,.024,1.325,55,2014
Tommy Gainey,73,.019,1.140,60,2014
Jeff Overton,80,.017,1.129,66,2014
Tyrone Van Aswegen,79,.017,1.074,65,2014
Ángel Cabrera,69,.007,.439,61,2014
Kevin Streelman,79,.006,.333,60,2014
Wes Roach,67,.000,-.015,50,2014
Camilo Villegas,95,.000,-.021,84,2014
Marc Leishman,81,-.017,-1.140,69,2014
Andrew Svoboda,77,-.026,-1.704,66,2014
Harris English,95,-.028,-2.092,74,2014
Brendon de Jonge,109,-.032,-2.961,92,2014
Justin Rose,70,-.040,-2.062,52,2014
Brad Fritsch,50,-.050,-1.947,39,2014
Bubba Watson,76,-.050,-2.812,56,2014
Bo Van Pelt,83,-.053,-3.574,67,2014
Y.E. Yang,79,-.073,-4.430,61,2014
J.B. Holmes,86,-.075,-5.753,77,2014
Nick Watney,80,-.075,-4.191,56,2014
Heath Slocum,71,-.078,-4.862,62,2014
David Lingmerth,80,-.087,-5.820,67,2014
Bronson La'Cassie,51,-.088,-3.170,36,2014
Graham DeLaet,80,-.093,-5.982,64,2014
Spencer Levin,59,-.094,-4.683,50,2014
Martin Kaymer,65,-.111,-5.332,48,2014
Russell Knox,92,-.116,-9.627,83,2014
Gonzalo Fernandez-Castaño,83,-.120,-8.265,69,2014
Seung-Yul Noh,92,-.121,-9.089,75,2014
Stewart Cink,91,-.131,-9.399,72,2014
Woody Austin,63,-.137,-7.810,57,2014
Carl Pettersson,91,-.138,-11.737,85,2014
Martin Flores,85,-.144,-9.760,68,2014
Shawn Stefani,60,-.146,-8.331,57,2014
Gary Woodland,93,-.149,-10.847,73,2014
Martin Laird,66,-.154,-8.490,55,2014
Briny Baird,50,-.156,-7.024,45,2014
Kevin Tway,64,-.157,-7.357,47,2014
John Huh,87,-.159,-11.142,70,2014
Robert Allenby,83,-.163,-11.431,70,2014
Henrik Stenson,56,-.170,-6.447,38,2014
Ernie Els,85,-.171,-10.756,63,2014
J.J. Henry,91,-.187,-14.566,78,2014
Hudson Swafford,75,-.200,-11.617,58,2014
Willy Wilcox,51,-.204,-8.141,40,2014
"Ted Potter, Jr.",68,-.216,-12.934,60,2014
Josh Teater,90,-.218,-16.385,75,2014
Charlie Beljan,76,-.231,-15.491,67,2014
John Rollins,84,-.252,-16.864,67,2014
Jonathan Byrd,76,-.271,-17.614,65,2014
Kevin Chappell,100,-.278,-24.167,87,2014
Scott Stallings,77,-.305,-19.191,63,2014
James Hahn,82,-.306,-22.332,73,2014
Rory Sabbatini,82,-.326,-21.162,65,2014
Geoff Ogilvy,84,-.331,-24.193,73,2014
D.A. Points,75,-.344,-18.917,55,2014
Davis Love III,74,-.361,-22.774,63,2014
Jim Herman,62,-.362,-17.364,48,2014
Jhonattan Vegas,77,-.370,-23.675,64,2014
Roberto Castro,76,-.384,-22.671,59,2014
Bud Cauley,56,-.389,-17.896,46,2014
Hideki Matsuyama,82,-.393,-25.129,64,2014
Ken Duke,80,-.409,-26.967,66,2014
Michael Putnam,106,-.409,-37.202,91,2014
Troy Matteson,62,-.422,-20.683,49,2014
Louis Oosthuizen,50,-.429,-12.882,30,2014
Chad Campbell,57,-.434,-19.952,46,2014
Kevin Stadler,90,-.467,-30.351,65,2014
Trevor Immelman,84,-.474,-31.780,67,2014
Mark Wilson,69,-.539,-30.747,57,2014
Derek Ernst,80,-.558,-35.154,63,2014
John Merrick,87,-.568,-40.919,72,2014
Jason Dufner,57,-.576,-24.208,42,2014
Vijay Singh,83,-.579,-43.983,76,2014
Steven Bowditch,93,-.581,-45.280,78,2014
Jamie Lovemark,64,-.585,-27.518,47,2014
Nicholas Thompson,85,-.622,-43.514,70,2014
Jeff Maggert,54,-.652,-28.696,44,2014
Jim Renner,61,-.792,-41.196,52,2014
John Peterson,62,-.819,-45.067,55,2014
Boo Weekley,73,-1.152,-64.497,56,2014
Kyle Stanley,87,-1.385,-99.737,72,2014
Lucas Glover,68,-1.475,-69.302,47,2014
Greg Chalmers,77,.857,59.966,70,2013
Steve Stricker,51,.720,25.185,35,2013
Stephen Ames,49,.713,31.372,44,2013
Brandt Snedeker,79,.692,40.150,58,2013
Aaron Baddeley,68,.661,38.976,59,2013
Phil Mickelson,78,.661,37.669,57,2013
James Driscoll,76,.650,40.948,63,2013
Russell Henley,80,.609,40.206,66,2013
Bryce Molder,82,.594,42.205,71,2013
Sergio Garcia,65,.591,27.798,47,2013
Richard Lee,81,.564,40.621,72,2013
Doug LaBelle II,72,.545,32.180,59,2013
Luke Donald,60,.528,24.266,46,2013
Peter Hanson,45,.484,15.973,33,2013
David Hearn,88,.484,35.344,73,2013
Harris English,95,.477,39.119,82,2013
Chris Kirk,89,.456,36.956,81,2013
Freddie Jacobson,63,.449,20.669,46,2013
Charles Howell III,87,.438,35.056,80,2013
Colt Knost,69,.435,25.252,58,2013
David Lynn,70,.432,24.168,56,2013
Brian Gay,79,.428,30.362,71,2013
Tiger Woods,61,.426,18.333,43,2013
Rickie Fowler,75,.425,25.099,59,2013
Aaron Watkins,46,.402,14.068,35,2013
Matt Kuchar,93,.398,27.495,69,2013
Hunter Mahan,91,.382,25.964,68,2013
Billy Horschel,96,.381,31.619,83,2013
Sangmoon Bae,83,.371,26.740,72,2013
Jason Day,86,.370,22.546,61,2013
Zach Johnson,84,.365,24.485,67,2013
Stuart Appleby,88,.353,27.895,79,2013
Patrick Reed,83,.350,25.875,74,2013
Justin Leonard,86,.348,26.068,75,2013
Chris Stroud,88,.340,26.558,78,2013
Shawn Stefani,63,.338,16.905,50,2013
K.J. Choi,85,.337,21.244,63,2013
Bob Estes,66,.335,20.768,62,2013
Ryan Palmer,79,.333,22.968,69,2013
Jeff Overton,78,.315,23.314,74,2013
Webb Simpson,92,.313,21.939,70,2013
Jonas Blixt,76,.312,20.883,67,2013
Charl Schwartzel,69,.301,16.246,54,2013
Mike Weir,60,.288,13.544,47,2013
Jimmy Walker,84,.276,20.687,75,2013
Johnson Wagner,64,.271,14.096,52,2013
Bill Haas,85,.266,18.348,69,2013
Casey Wittenberg,72,.254,15.516,61,2013
Keegan Bradley,88,.250,18.002,72,2013
"Ted Potter, Jr.",65,.247,13.565,55,2013
Kevin Streelman,86,.246,16.735,68,2013
Erik Compton,74,.234,15.213,65,2013
Brian Davis,91,.232,19.228,83,2013
William McGirt,75,.229,16.251,71,2013
Daniel Summerhays,83,.221,17.267,78,2013
Ben Curtis,59,.211,9.689,46,2013
Jerry Kelly,75,.198,12.687,64,2013
Morgan Hoffmann,64,.193,10.240,53,2013
Jason Bohn,70,.185,12.192,66,2013
Jordan Spieth,82,.182,12.183,67,2013
Ian Poulter,59,.177,6.906,39,2013
Charlie Wi,75,.176,11.630,66,2013
Tom Gillis,69,.173,10.396,60,2013
Brian Harman,89,.147,11.191,76,2013
J.J. Henry,83,.146,10.780,74,2013
Scott Stallings,79,.146,9.620,66,2013
Matt Jones,83,.145,10.147,70,2013
Martin Kaymer,61,.137,5.770,42,2013
Graeme McDowell,53,.136,5.027,37,2013
Charley Hoffman,84,.128,9.350,73,2013
Fabián Gómez,65,.124,6.947,56,2013
Cameron Percy,68,.121,6.908,57,2013
Andres Romero,63,.117,6.092,52,2013
Cameron Tringale,80,.104,7.766,75,2013
Vaughn Taylor,50,.103,4.118,40,2013
Graham DeLaet,94,.100,8.078,81,2013
Jim Furyk,80,.092,5.901,64,2013
Tommy Gainey,84,.089,6.682,75,2013
Martin Flores,83,.080,6.065,76,2013
Marc Leishman,77,.080,5.144,64,2013
Ángel Cabrera,73,.069,3.943,57,2013
Brian Stuard,78,.067,4.232,63,2013
Andrew Svoboda,46,.067,2.342,35,2013
John Merrick,79,.063,4.317,68,2013
Gary Woodland,94,.062,5.105,83,2013
Tim Clark,64,.058,2.497,43,2013
Tag Ridings,69,.053,3.080,58,2013
Ben Kohles,75,.051,3.144,62,2013
Scott Langley,79,.040,2.580,64,2013
Justin Bolli,59,.038,1.744,46,2013
D.H. Lee,65,.037,2.134,58,2013
Brendon de Jonge,110,.030,2.936,97,2013
Brendan Steele,86,.028,2.119,77,2013
Ben Crane,62,.024,1.321,55,2013
Josh Teater,86,.022,1.368,61,2013
Bobby Gates,49,.011,.401,38,2013
Nick Watney,88,.006,.445,73,2013
Henrik Stenson,65,.004,.171,44,2013
Troy Matteson,68,.003,.196,59,2013
James Hahn,78,.002,.153,67,2013
Robert Streb,75,.000,-.003,62,2013
Brandt Jobe,62,-.002,-.080,53,2013
David Lingmerth,68,-.009,-.526,57,2013
Chez Reavie,72,-.009,-.584,67,2013
Dicky Pride,71,-.011,-.652,59,2013
Alistair Presnell,59,-.020,-.909,46,2013
Ken Duke,87,-.026,-1.917,75,2013
Jin Park,52,-.027,-1.140,43,2013
Adam Scott,61,-.027,-1.174,44,2013
George McNeill,68,-.028,-1.807,64,2013
Ryan Moore,72,-.028,-1.568,57,2013
Carl Pettersson,82,-.028,-1.797,64,2013
Pat Perez,69,-.039,-2.515,64,2013
Tim Herron,45,-.041,-1.816,44,2013
Steven Bowditch,67,-.046,-2.675,58,2013
Y.E. Yang,56,-.069,-2.827,41,2013
Matt Every,89,-.092,-7.372,80,2013
Rory McIlroy,56,-.093,-3.796,41,2013
Bubba Watson,76,-.096,-5.642,59,2013
Dustin Johnson,71,-.101,-5.140,51,2013
Jason Kokrak,78,-.119,-8.601,72,2013
Michael Thompson,66,-.120,-6.336,53,2013
Martin Laird,68,-.127,-6.723,53,2013
Padraig Harrington,52,-.131,-4.584,35,2013
Ernie Els,63,-.136,-6.547,48,2013
John Senden,79,-.138,-8.416,61,2013
Camilo Villegas,79,-.149,-9.556,64,2013
Henrik Norlander,70,-.160,-9.458,59,2013
D.A. Points,87,-.161,-10.919,68,2013
Steve LeBrun,66,-.181,-9.599,53,2013
Bo Van Pelt,72,-.181,-9.773,54,2013
Scott Piercy,78,-.184,-11.378,62,2013
Justin Rose,62,-.188,-8.662,46,2013
Charlie Beljan,62,-.205,-11.257,55,2013
Luke Guthrie,82,-.205,-13.313,65,2013
Mark Wilson,56,-.210,-10.499,50,2013
Brad Fritsch,81,-.212,-14.429,68,2013
Derek Ernst,58,-.216,-10.569,49,2013
Scott Brown,65,-.217,-11.954,55,2013
Justin Hicks,79,-.219,-14.424,66,2013
John Huh,88,-.227,-17.011,75,2013
Jim Herman,59,-.229,-10.081,44,2013
Jason Dufner,78,-.231,-14.069,61,2013
Stewart Cink,71,-.238,-13.337,56,2013
John Rollins,77,-.243,-16.518,68,2013
D.J. Trahan,48,-.247,-9.373,38,2013
Chad Campbell,78,-.249,-17.935,72,2013
Luke List,65,-.267,-13.865,52,2013
Rory Sabbatini,86,-.274,-19.700,72,2013
Sean O'Hair,56,-.277,-14.131,51,2013
Nicholas Thompson,99,-.281,-24.131,86,2013
Kevin Stadler,83,-.284,-19.575,69,2013
Jeff Maggert,63,-.316,-18.022,57,2013
Scott Gardiner,61,-.330,-17.179,52,2013
Robert Allenby,58,-.337,-17.531,52,2013
Robert Karlsson,56,-.337,-12.462,37,2013
Geoff Ogilvy,57,-.337,-14.174,42,2013
Kevin Chappell,80,-.338,-22.660,67,2013
Trevor Immelman,73,-.365,-22.637,62,2013
David Toms,49,-.379,-12.112,32,2013
Darron Stiles,51,-.427,-17.952,42,2013
Lee Williams,62,-.427,-21.752,51,2013
Robert Garrigus,69,-.437,-21.395,49,2013
David Mathis,71,-.448,-27.791,62,2013
Michael Bradley,56,-.450,-19.368,43,2013
Seung-Yul Noh,71,-.463,-28.715,62,2013
Roberto Castro,97,-.465,-39.019,84,2013
Lee Westwood,70,-.484,-24.676,51,2013
Rod Pampling,46,-.564,-19.740,35,2013
Bud Cauley,67,-.570,-31.917,56,2013
Nicolas Colsaerts,50,-.579,-20.830,36,2013
Ricky Barnes,74,-.584,-37.979,65,2013
Greg Owen,73,-.669,-44.163,66,2013
Boo Weekley,100,-.676,-56.094,83,2013
Ryo Ishikawa,72,-.683,-37.580,55,2013
Kyle Stanley,71,-.683,-41.004,60,2013
Will Claxton,67,-.709,-39.696,56,2013
Lucas Glover,65,-.851,-44.265,52,2013
Vijay Singh,61,-.876,-42.025,48,2013
Eric Meierdierks,48,-.978,-36.175,37,2013
Brandt Snedeker,81,.860,55.901,65,2012
Luke Donald,63,.818,39.258,48,2012
Jonas Blixt,72,.804,51.477,64,2012
Brian Gay,91,.704,54.888,78,2012
Bryce Molder,83,.666,47.290,71,2012
Martin Flores,95,.656,53.826,82,2012
Derek Lamely,64,.636,35.620,56,2012
Aaron Baddeley,73,.604,33.197,55,2012
Gavin Coles,72,.591,33.670,57,2012
Zach Johnson,95,.568,42.000,74,2012
Phil Mickelson,79,.562,33.707,60,2012
Bo Van Pelt,84,.542,35.208,65,2012
Jason Day,57,.526,24.741,47,2012
Y.E. Yang,64,.516,24.781,48,2012
Greg Chalmers,88,.506,37.934,75,2012
Ben Curtis,62,.505,24.238,48,2012
Matt Kuchar,86,.472,31.151,66,2012
Ryan Palmer,81,.453,32.168,71,2012
Carl Pettersson,92,.444,35.496,80,2012
James Driscoll,83,.434,30.362,70,2012
Ben Crane,73,.432,26.762,62,2012
Brendon Todd,78,.427,26.891,63,2012
Jimmy Walker,101,.427,38.829,91,2012
Ryan Moore,89,.424,34.312,81,2012
Jim Furyk,85,.423,27.493,65,2012
Sergio Garcia,57,.400,17.601,44,2012
Brian Davis,91,.370,29.211,79,2012
Michael Thompson,80,.355,23.097,65,2012
Ryuji Imada,78,.351,24.242,69,2012
Ken Duke,104,.349,31.447,90,2012
Johnson Wagner,88,.346,26.284,76,2012
Tiger Woods,69,.339,16.282,48,2012
David Mathis,83,.338,23.324,69,2012
Daniel Chopra,55,.331,14.231,43,2012
Keegan Bradley,90,.330,23.445,71,2012
Spencer Levin,81,.330,21.790,66,2012
Kevin Kisner,69,.303,16.053,53,2012
Stewart Cink,71,.301,16.239,54,2012
Jeff Overton,101,.293,26.961,92,2012
William McGirt,96,.282,22.289,79,2012
Charlie Wi,86,.279,20.398,73,2012
Billy Hurley III,70,.276,15.721,57,2012
Jonathan Byrd,69,.262,14.686,56,2012
David Hearn,95,.261,23.003,88,2012
Brandt Jobe,57,.257,11.553,45,2012
Nathan Green,73,.248,14.162,57,2012
George McNeill,85,.238,16.899,71,2012
Geoff Ogilvy,73,.238,13.063,55,2012
Blake Adams,107,.232,20.406,88,2012
Tommy Biershenk,74,.224,12.972,58,2012
Scott Piercy,95,.221,19.034,86,2012
Tom Gillis,75,.217,14.940,69,2012
Webb Simpson,77,.211,13.911,66,2012
Ryo Ishikawa,54,.196,7.249,37,2012
Kevin Na,80,.193,12.574,65,2012
John Daly,50,.192,7.294,38,2012
Richard Lee,71,.189,10.775,57,2012
Dustin Johnson,70,.185,9.800,53,2012
Colt Knost,79,.184,12.305,67,2012
Harris English,98,.175,15.234,87,2012
John Huh,99,.167,14.226,85,2012
Pat Perez,81,.160,11.008,69,2012
Stuart Appleby,75,.154,9.991,65,2012
Jason Dufner,83,.153,9.777,64,2012
Edward Loar,59,.145,6.217,43,2012
Brendon de Jonge,115,.144,14.688,102,2012
Seung-Yul Noh,105,.142,12.086,85,2012
Troy Matteson,100,.136,11.303,83,2012
Steve Stricker,73,.134,7.240,54,2012
Brian Harman,101,.132,11.582,88,2012
Dicky Pride,62,.130,6.391,49,2012
Sangmoon Bae,81,.128,7.288,57,2012
Tommy Gainey,98,.113,10.183,90,2012
Henrik Stenson,51,.105,4.416,42,2012
Bill Haas,79,.103,6.304,61,2012
Ian Poulter,57,.103,3.932,38,2012
Cameron Tringale,88,.102,7.855,77,2012
Martin Laird,77,.099,5.356,54,2012
Matt Every,80,.096,6.173,64,2012
Erik Compton,81,.092,5.862,64,2012
Charl Schwartzel,56,.084,3.365,40,2012
Chris Couch,61,.083,4.491,54,2012
Chris Stroud,86,.082,6.117,75,2012
Bob Estes,78,.074,4.782,65,2012
"Ted Potter, Jr.",77,.073,4.427,61,2012
Bud Cauley,99,.065,5.957,91,2012
Davis Love III,64,.063,3.299,52,2012
Rory McIlroy,60,.058,2.336,40,2012
Charles Howell III,98,.054,4.174,77,2012
Sung Kang,75,.051,3.134,62,2012
Troy Kelly,68,.050,2.529,51,2012
Roberto Castro,92,.048,3.583,75,2012
Danny Lee,74,.040,2.366,59,2012
Steve Wheatcroft,56,.040,1.675,42,2012
John Senden,81,.039,2.436,62,2012
Vaughn Taylor,81,.031,1.961,64,2012
